plateifu,log(N/Ha),log(O/Hb),EW(Ha)
11941-9102,-0.314091319,-0.246516578,11.70828581
11942-12701,-0.194741514,-0.019654419,11.05767369
11942-12702,-0.519994418,-0.746709911,32.5782361
11942-12704,-0.538908995,-0.232457822,254.2088432
11942-6102,-1.065634543,0.468857866,16.06744862
11942-6103,-0.187688644,-0.099268015,8.251265764
11942-6104,-0.126328902,-0.017046256,20.48380136
11942-9101,-0.213410511,-0.074071368,13.1559124
11943-3701,-0.46785804,-0.344543451,26.83289385
11943-3702,-0.325269104,-0.551421306,33.51446247
11943-3703,-0.419705118,-0.491039738,45.13785458
11943-3704,-0.442725391,-0.263356594,109.9945354
11943-6104,-0.164296101,0.650414484,151.5722504
11944-12701,-0.192818763,0.403505253,20.94720125
11944-12703,-0.539295042,-0.040234761,18.82195997
11944-12704,0.035162799,0.594152409,67.2987442
11944-3702,-0.484854859,-0.319918303,7.761094093
11944-3703,-0.728703767,-0.054279732,8.39632225
11944-6103,-0.424022085,-0.428830181,7.91127193
11944-9101,-0.347936429,-0.468891116,54.07794857
11945-12701,-0.344190385,-0.273166993,9.92583704
11945-12702,-0.536576177,-0.274960129,13.60091901
11945-12705,-0.504380633,-0.756898857,14.82122731
11945-1902,-0.030527318,0.216993716,8.863776445
11945-6101,-0.445026944,-0.582517477,28.5200882
11945-6102,-0.237377107,-0.157859849,14.41810441
11945-6103,-0.527317982,-0.214250363,40.14266205
11945-6104,-0.217640435,-0.362892635,51.26494026
11945-9102,-0.093804118,0.014186164,6.306725502
11946-12701,-0.339602342,-0.25758684,10.8398931
11946-12702,-0.317832022,-0.018825115,6.605302572
11946-12704,-0.453437373,-0.396992778,20.3718524
11946-3701,-0.353208508,-0.330696509,40.17464447
11946-3703,-0.321315692,-0.606101941,431.8829651
11946-6103,-0.529547047,-0.395571321,12.19180894
11946-9101,-0.091501362,0.146952716,12.87125325
11947-12701,-0.247042404,0.042440519,15.33927321
11947-12703,-0.149280871,-0.214210624,35.66262817
11947-12704,0.153057922,0.093332717,81.17513847
11947-12705,-0.122270595,0.017726085,7.972093463
11947-1901,-0.564387307,-0.047279075,46.58115482
11947-3702,0.097874523,0.319952968,7.109058022
11947-3704,-0.39109374,-0.547594108,14.26368976
11947-6102,-0.341611167,-0.225407557,8.376837413
11947-6103,-0.035702998,0.244846048,9.937365055
11947-9102,0.027409931,0.831115454,36.27651882
11948-12701,-0.501719557,-0.302719222,16.03368831
11948-12703,0.31217636,0.41325407,12.01726151
11948-12704,-0.288363473,-0.524299427,7.07490015
11948-1901,-0.540585939,-0.009099107,80.32408333
11948-1902,-0.409363287,-0.492317815,34.65905094
11948-3704,-0.406361733,0.253022261,51.70100594
11948-6102,-0.566145198,-0.133566551,23.21270275
11948-9101,0.010675501,0.141560709,6.435230017
11948-9102,-0.533798397,-0.117322691,34.2916851
11949-12701,-0.445805169,-0.811167227,11.02294874
11949-12702,0.02479518,0.010306148,12.04904914
11949-12703,-0.248255164,-0.136567798,6.486434579
11949-3702,-0.341005485,-0.450928672,29.63550711
11949-9101,-0.371996957,-0.575874865,62.89867401
11949-9102,-0.400092149,-0.627569161,19.0080142
11950-12704,-0.592487545,-0.183565443,7.742889086
11950-3703,0.04505709,0.385928348,7.0057621
11950-9101,-0.209754806,1.031523296,14.82970452
11951-12702,0.090818594,0.90830812,7.699704766
11951-12703,-0.627471663,-0.055423203,6.140993913
11951-1901,-0.423821217,-0.010756798,6.471952319
11951-1902,-0.579517265,-0.188409417,6.005054355
11951-3701,-0.56549881,-0.206609353,12.22972298
11951-3703,-0.453033616,-0.451164305,6.498970032
11951-9102,-0.421059207,-0.33459105,14.89401817
11953-12701,-0.52504271,-0.349269422,7.304419398
11953-12702,-0.334946229,-0.313538515,6.569908857
11953-12704,-0.483529135,-0.269252041,7.353316307
11953-12705,-0.675847973,0.088525816,9.578459501
11953-3702,0.280991827,0.829099018,8.877285004
11953-6101,-0.294570294,-0.431931775,33.6438427
11953-9101,-0.809127998,0.130108293,25.4107275
11954-12701,-0.471369119,-0.548368432,7.25899291
11954-12703,-0.500854222,-0.331562173,7.251792113
11954-12704,-0.194656323,-0.273500216,51.99987125
11954-12705,-0.590683777,-0.034988642,8.515013456
11954-1901,-0.013263095,0.155901637,12.57133675
11954-1902,0.501888295,0.99741063,12.98174024
11954-3701,-0.423992932,-0.287715154,6.387811661
11954-3703,-0.368595681,-0.582345805,59.57118034
11954-3704,-0.882210929,0.345222738,64.73995209
11954-6104,-1.047843268,0.403663021,97.90923691
11954-9101,-0.439348823,-0.696873312,52.34399128
11954-9102,-0.547033958,-0.161417891,61.26262951
11955-12701,-0.756713232,0.020317547,30.40560579
11955-12702,-0.096640684,0.558164737,39.1129303
11955-12703,0.159221172,0.52969962,12.05708933
11955-1902,-0.020137231,0.339550689,13.05593276
11955-3702,0.160055195,0.332470211,11.00482178
11955-3703,-0.728692248,0.07005387,39.48383617
11955-3704,-0.461131283,-0.474981015,20.63610315
11955-6101,-0.825953825,0.254123945,32.88857174
11955-6104,-0.452435549,-0.423383536,18.7275219
11955-9102,-0.059165109,-0.124384778,54.47908115
11956-12701,-0.495780681,-0.569015007,10.84455156
11956-12702,0.053204105,0.086109898,10.64489579
11956-12703,-0.143751881,-0.045617727,24.16641855
11956-12705,-0.477307443,-0.702498077,62.25117397
11956-3704,-0.838118024,0.217586749,15.19577122
11956-9101,-0.544621925,-0.122163546,19.92856026
11957-12702,-0.22344632,-0.081168138,17.35608816
11957-12704,-0.409819085,-0.632393243,10.88695383
11957-3704,-0.36145841,-0.454385922,15.82557869
11957-6101,-0.308197064,-0.433004243,30.06198645
11957-6102,-0.545186755,-0.573567994,10.79419637
11957-9101,0.186951832,0.416678791,26.07745409
11957-9102,-0.409433689,-0.603684016,12.91888857
11983-12701,0.087029245,0.325036512,13.86661768
11983-12702,-0.451813035,-0.875299753,20.62143755
11983-12705,-0.241676073,0.294599784,6.604055762
11983-3701,-0.750320569,0.053537264,36.92446709
11983-3702,-0.587765103,-0.020416851,25.06311417
11983-3703,-0.514573789,-0.400908289,29.35902262
11983-6104,-0.714577821,0.002713606,36.00921345
12027-12701,-0.227316918,-0.117060124,24.77604167
12027-12702,-0.111727122,1.071038806,60.79228338
12027-12703,-0.356522109,-0.404962783,41.37971115
12027-12704,-0.347592462,0.023283814,35.00245031
12027-12705,-0.179208085,-0.29394209,27.37528547
12027-9101,-0.488176626,3.492600036,128.5820796
12028-12701,-0.063340832,1.021712168,5874.613281
12028-12702,-0.391345728,-0.148007108,14.14182186
12028-12703,-0.217575525,-0.639182334,14.10970211
12028-12704,-0.147601275,-1.1394357,116.9856898
12028-12705,-0.066493451,-0.007863263,25.95539538
12029-12701,-0.039231708,-0.267267674,21.66622925
12029-12702,-0.424250004,-0.664839467,48.56269709
12029-12703,-0.480194432,0.026850753,54.58467356
12029-12704,-0.227901486,-0.242923831,132.1951294
12029-12705,-0.202462946,0.510966067,288.6979472
12029-9101,0.180222819,-0.438504509,64.46024513
12029-9102,-0.238167749,-0.334692777,59.37444687
12030-12701,-0.039053656,0.350810641,10.99463773
12030-12702,-0.450667052,-1.658149841,29.29927206
12030-12703,-0.315007203,-0.53567326,94.61822764
12030-12704,-0.335326873,2.024753478,11.64382195
12030-12705,-0.460677324,-1.279316637,98.45217896
12031-12701,-0.283037244,-0.931200871,10.29587841
12031-12702,-0.459166509,-0.674327608,200.4416962
12031-12703,-0.504843512,-1.309920112,115.9531021
12031-12704,-0.127649074,0.035535276,6.890582085
12031-12705,-0.592802613,0.642124715,68.98190475
12031-9101,0.001266191,-1.363591408,14.8715566
12032-12701,-0.406410098,0.382251,29.11044375
12032-12702,-0.421937397,-0.390035163,128.1391182
12032-12703,-0.296204499,0.731099161,42.7790006
12032-12704,-0.362430383,-0.441410486,11.82945538
12032-12705,-0.39983093,-0.299684042,66.06943766
12032-9101,-0.386445595,-0.346944037,47.55450058
12033-12701,-0.338869929,0.123706999,27.53982019
12033-12702,-0.245943294,1.18712465,46.65855789
12033-12703,-0.353281451,-0.312374418,38.22841517
12033-12704,-0.435112687,-0.238751501,12.83957767
12033-12705,-0.574574735,0.206792451,8.046993732
12033-9101,-0.453950458,-0.680220951,336.3359477
12034-12701,-0.488666142,-0.437656523,35.49926122
12034-12702,-0.527425032,-0.515072562,13.70139058
12034-12703,-0.367716908,-1.122169839,129.4298553
12034-12704,-0.31476392,-0.622845378,71.60457611
12034-12705,-0.215495573,-0.570223546,15.11229674
12034-9101,-0.538774356,0.393984759,20.41686058
12035-12701,-0.314805784,-0.014675691,102.6165415
12035-12702,-0.166619022,1.347308583,6.559563875
12035-12703,-0.265526393,-0.811122816,91.72653453
12035-12704,-0.509724861,-0.043310695,61.62754059
12035-12705,-0.492362511,-0.816623269,395.9561691
12035-9102,-0.600945929,-1.220835794,166.881484
12036-12702,-0.280616317,-0.637826833,33.91089376
12036-12703,-0.649841499,-0.603773833,67.89722824
12036-12704,-0.408756887,-1.321631296,83.89861806
12036-12705,0.059190205,0.046327428,23.47276497
12036-9101,-0.265256028,0.22080749,17.47031339
12036-9102,-0.469436661,-0.576943983,70.31119283
12037-12701,-0.061498915,-0.74037509,8.809013685
12037-12702,-0.338197534,-0.951766156,27.10241381
12037-12703,-0.203612594,-1.045198583,34.61686961
12037-12704,-0.56574087,-0.847227,100.120374
12037-12705,-0.402811595,-0.244706304,65.11284892
12037-9101,-0.456107875,-0.727390945,43.07921727
12037-9102,-0.420518077,-0.802772841,54.32241567
12038-12702,-0.397247124,-1.030275398,25.19750659
12038-12703,-0.505373194,-0.772571657,50.66780345
12038-12704,-0.487610306,-0.546773089,37.16331863
12038-12705,-0.190110899,0.310339656,18.49641291
12038-9101,-0.420850794,0.04518834,29.24236727
12038-9102,-0.440651418,-0.853744226,100.4909134
12039-12701,-0.070234679,-0.066276006,13.29280726
12039-12702,-0.319849264,0.270083617,159.7196503
12039-12703,-0.454268764,-0.69018862,136.6764374
12039-12704,-0.081079315,-0.774974303,7.30637296
12039-9101,-0.519938793,0.596779723,7.472264449
12039-9102,-0.187814299,-0.578652598,26.66625214
12040-12701,0.123076846,-0.021466649,11.76648744
12040-12703,-0.161814934,-0.516656306,27.39100711
12040-12704,0.019563811,0.441667577,9.636765798
12040-9101,-0.463406113,0.095198268,38.15418498
12041-12701,-0.318748374,0.129054546,126.2495117
12041-12703,-0.19602896,-0.083170091,47.4593366
12041-12704,-0.128880778,-0.712181595,308.3316727
12041-12705,-0.621537167,0.069021347,45.46931585
12041-9101,-0.316758561,1.40020127,42.15066528
12041-9102,-0.023327389,1.014015355,7.49775219
12042-12701,0.065082206,-0.459523662,220.8619652
12042-12702,-0.328483124,-0.081243531,92.57188924
12042-12703,-0.362578606,-1.064311286,63.11080933
12042-12704,-0.592909744,-0.334460492,260.9208577
12042-12705,-0.261650965,-0.146778731,10.2393376
12042-9101,-0.349128122,0.055277139,11.68507385
12042-9102,-0.239101476,-0.734754125,32.56464005
12043-12701,-0.402530386,-0.182096149,27.4256827
12043-12702,-0.424080819,-0.302859062,164.2767232
12043-12703,-0.076233968,-0.923288731,13.6232392
12043-12704,-0.24570784,-0.058884891,116.6825092
12043-12705,-0.263040302,0.872023624,167.3479156
12043-9101,-0.167901404,0.394637209,10.71844196
12043-9102,-0.171803332,0.213739582,151.6159515
12044-12701,-0.465243996,-0.498798376,97.50786591
12044-12702,-0.405605269,-0.714679778,80.38285319
12044-12703,-0.516639654,0.426598835,8.63473924
12044-12704,0.377822432,-0.633936371,20.17520078
12044-12705,-0.096378684,-1.070886156,115.578227
12044-9101,-0.377720976,-0.576848017,36.46759796
12044-9102,-0.42542234,-1.019189517,80.3378067
12045-12701,-0.595759827,-0.766955811,105.6990407
12045-12702,-0.476423968,0.781534065,25.35756111
12045-12703,-0.119661138,-0.265124081,20.71111997
12045-12704,-0.263827103,-0.574567328,437.8428345
12045-12705,0.221793097,-0.015413998,17.09807841
12045-9101,-0.55185605,-1.355918955,81.91484324
12045-9102,-0.514715024,-0.668305591,84.94739024
12046-12701,-0.439655291,-0.606177492,214.1528625
12046-12702,-0.252863853,-0.099389952,52.12048848
12046-12703,-0.436898278,-1.496002664,125.7501297
12046-12704,-0.19996519,0.226606912,218.3287837
12046-12705,-0.202180847,-0.166612548,45.15760549
12046-9101,-0.425616566,0.241235687,128.6116536
12046-9102,-0.300740757,-0.908536509,33.03920873
12047-12701,-0.388274236,0.671303443,132.8265737
12047-12702,-0.44700337,-2.224499417,46.67822774
12047-12703,-0.32193739,-0.908621472,7.693729877
12047-12704,-0.055231213,-0.188748221,40.3336436
12047-12705,-0.135131816,-0.117873955,90.52829742
12047-9101,-0.43861558,0.074061417,111.7779592
12047-9102,-0.308688061,-0.458634992,52.50842412
12048-12701,-0.139487555,-0.953335005,36.02442424
12048-12702,-0.332648422,-0.385131354,87.42987569
12048-12703,-0.36353207,-2.012552872,143.4925232
12048-12704,-0.600734812,-0.835303765,57.70018768
12048-12705,-0.378019002,-1.04347276,93.13941447
12049-12701,-0.636817356,-1.004816809,25.16459401
12049-12702,-0.172023662,0.237663485,14.81812255
12049-12703,-0.43844761,-0.475690233,48.00828171
12049-12704,-0.500282609,-0.283749012,121.903951
12049-12705,-0.394910884,0.159169367,58.34240214
12050-12701,0.273888217,0.42997615,17.29996681
12050-12702,-0.371121081,-0.917110551,56.75202179
12050-12703,-0.378763995,-0.458283997,83.3922348
12050-12704,-0.46888817,-0.181386134,83.6653417
12050-12705,-0.127477106,0.225221422,84.85066223
12050-9101,-0.295925004,-0.273822104,8.349889596
12050-9102,-0.368093374,0.191332168,16.24728648
12483-12702,-0.389797314,-0.181054559,19.94130421
12483-12703,-0.377281244,-0.532231332,29.57871866
12483-12704,-0.284157088,-0.712035963,154.5801468
12483-12705,0.181974959,0.49301107,6.078269323
12483-1901,-0.55383543,0.019200952,21.64648771
12483-1902,-0.678807312,0.0553351,25.93351984
12483-6103,-0.54264558,-0.40980399,92.92344856
12483-6104,-0.416777922,-0.255421755,8.424489737
12483-9101,-0.39150028,-0.337345858,45.11271954
12483-9102,-0.688888522,0.838741173,652.1247864
12484-12702,-0.415287348,-0.365867918,37.75988865
12484-12704,-0.458889139,-0.317901529,12.09188175
12484-12705,-0.323900139,-0.445019765,30.43547297
12484-1901,-0.300921355,0.166241112,22.88313389
12484-3703,-0.440049162,-0.540759409,105.4146042
12484-6102,0.167867808,0.037306486,8.02095592
12485-12702,-0.976843574,0.340987901,11.45410562
12485-1901,-0.406466603,-0.277660294,19.32198429
12485-6102,-0.54336328,-0.236750107,14.78689766
12485-6104,0.282651963,0.147780512,10.64456773
12485-9102,-0.577865181,-0.112400491,13.6785624
12487-1902,-0.668655844,0.33986318,108.532093
12487-3702,-0.053430714,0.505760044,8.626051426
12487-6103,-0.485554908,-0.708355038,21.00200796
12487-6104,0.237957033,0.227011485,18.86890221
12620-12702,0.260649003,0.395853888,8.318640709
12620-12703,-0.421923442,-0.527399803,19.03070021
12620-12704,-0.425811444,-0.688514757,33.13939667
12620-1901,0.708912266,0.503173305,10.56652451
12620-3702,0.208388434,0.262541266,8.357224345
12620-3703,-0.21457895,0.107205365,22.40491676
12620-6101,-0.656044456,-0.017545263,76.08171272
12620-6103,0.292888959,0.281845777,7.402394533
12620-9102,-0.469563316,-0.7139478,34.3654623
12621-12701,-0.280149539,-0.508961237,27.07169247
12621-1901,-0.400732503,-0.32122927,119.9016476
12621-1902,-0.313100884,-0.147268046,7.175985217
12621-6103,-0.266086825,-0.375738066,29.85916376
12622-12702,0.225011571,0.202887213,9.528795123
12622-12703,-0.448812248,-0.737738793,10.97229648
12622-12705,-1.109234444,0.45940233,314.6106262
12622-1901,-0.30968636,-0.349289952,44.07555962
12622-1902,-0.274793615,-0.183724465,203.317791
12622-3703,-0.612982709,-0.155033395,7.142522971
12622-6101,-0.909837789,0.2153997,12.24276066
12622-9101,-0.374233335,-0.588948935,73.02002716
12622-9102,0.272202381,0.44875898,6.003300826
12624-12701,-0.760887283,0.04761104,16.19134021
12624-12703,-0.370719307,-0.461644185,7.079221368
12624-12704,-0.674785191,0.023430462,21.98703194
12624-12705,-0.005440307,0.10113558,7.267128229
12624-1901,-0.638450835,0.126548138,101.9114456
12624-6104,-0.016432543,-0.077125537,35.03690243
12624-9101,-0.285825646,-0.473590025,60.27883244
12667-12701,0.139284761,0.085493778,13.21272111
12667-12702,-0.077731095,0.937082124,25.58938646
12667-3701,-0.155141265,-0.28291483,18.16064262
12667-6101,-0.311060623,-0.607008733,67.4739151
12667-6103,-0.236253895,-0.435494754,44.54664421
12667-6104,-0.277422495,0.075214916,8.382273912
12673-12703,-0.460103458,-0.533760439,26.70110321
12673-3703,-0.147417246,-0.598055492,6.56939292
12673-3704,-0.370389913,-0.444750518,28.86926794
12673-6101,-0.263431556,0.06513218,17.63585711
12673-6103,-0.457021481,-0.322343117,10.39946914
12673-9101,-0.452894467,-0.583755935,19.65523577
12673-9102,-0.208508346,0.25148543,20.02592325
12674-12701,-0.425297124,-0.591670061,24.82684994
12674-12702,-0.605186,-0.089326519,10.46159697
12674-12703,0.079953874,0.6554194,70.8367691
12674-9101,-0.312908897,-0.267213507,8.060988426
12675-12703,-0.328372379,-0.381458012,6.157505512
12675-12704,-0.414654196,-0.455035046,14.49025273
12675-1901,-0.909201499,0.169717106,6.114886443
12675-3704,0.325369903,0.365552221,11.27469563
12767-1902,-0.332560242,-1.349048999,191.4358368
7443-12703,-0.287621033,-0.061796369,342.6898422
7443-12704,-0.444668796,-0.625280908,51.35929775
7443-1901,-0.547763009,-0.083101895,31.62270641
7443-3701,-0.716879754,0.012558162,17.42089939
7443-3704,-0.777773775,0.241562876,13.68595457
7443-6102,-0.446731591,-0.724795759,57.5279932
7443-6103,-0.61685138,-0.045996422,29.26081753
7443-9101,-0.219061314,-0.086340257,33.80084801
7957-12702,-0.55208993,-0.686962612,36.32281494
7957-12704,-0.397043252,-0.346015854,23.71007395
7957-3703,-0.609995384,-0.075343207,22.75822592
7957-3704,-0.478732873,-0.600550385,12.21341324
7957-6102,-0.144687828,-0.081946484,7.478746057
7957-6103,0.160845241,0.036390946,6.606119792
7957-6104,-0.598504272,-0.051188037,44.52778339
7957-9101,-0.569164258,-0.083442849,7.411556721
7957-9102,-0.481467038,-0.690675851,27.68000507
7958-12701,-0.786177303,0.163670905,11.38726234
7958-12704,-0.493934989,-0.140008652,25.83799696
7958-12705,-0.786114394,0.231764246,14.74991274
7958-1902,-0.309740292,-0.352472167,8.520447731
7958-3702,-0.132321686,0.08109418,19.91329813
7958-6101,-0.218710989,-0.566496815,67.11652946
7958-9101,-0.291428356,0.704969111,11.09787345
7959-12701,-0.054159309,-0.006935177,6.805731297
7959-12702,0.092309148,0.264824567,6.067201138
7959-12703,0.143730288,0.376870102,7.018064022
7959-12704,-0.098331638,-0.036078413,49.49179268
7959-12705,-0.477332948,-0.708037324,46.39319515
7959-1901,-0.511995643,-0.09502632,11.99648666
7959-3701,-0.207160953,-0.450841014,95.16436005
7959-6102,0.238461898,1.00151326,13.28399897
7959-6103,0.086223073,0.742869954,22.90558004
7959-6104,0.212190961,0.306647133,6.170363585
7959-9102,-0.553648878,-0.639526678,20.62232304
7960-12701,-0.01309836,0.057906086,16.53297234
7960-12703,-0.452574782,-0.584817882,10.11013651
7960-12704,-0.451978231,-0.51441204,36.08115005
7960-12705,-0.315546343,-0.647463493,23.82755899
7960-3703,-0.426470797,0.070514168,24.01641703
7960-3704,-0.792825633,0.269493189,45.87639427
7960-6101,-0.608410712,-0.215886296,6.864481091
7960-6102,-0.601445512,-0.276572428,17.68211222
7960-6103,-0.430293525,-0.455156972,31.77906179
7960-9101,-0.509280216,-0.030321013,7.375143528
7961-12703,-0.468435263,-0.608604332,34.10757637
7961-12705,0.093234821,0.15102277,9.496448755
7961-3702,-0.306627702,-0.125339866,18.35520124
7961-6103,0.022679889,0.057855857,10.61564589
7961-9102,-0.40675812,-0.594601455,6.944579124
7990-12701,-0.572150215,-0.915059191,11.38760352
7990-12703,-0.671810858,-0.023657698,17.08167553
7990-12704,0.006591335,0.206764128,7.074599028
7990-1901,0.235958996,0.562411249,7.475836754
7990-1902,-0.321955817,-0.452867412,89.2142601
7990-3703,-0.606403551,0.038245625,231.2899208
7990-6104,-0.470807658,-0.684639596,92.02088356
7990-9101,-0.448722017,-0.530388534,12.3857317
7990-9102,-0.36942437,-0.328199564,9.488256693
7991-12701,-0.240916693,-0.263150653,57.62971592
7991-1901,-0.076579038,-0.176883155,182.9543114
7991-3702,-0.205388583,0.441460288,25.06062651
7991-6103,-0.467981639,-0.509662609,12.96971035
7991-6104,0.260632016,0.952927694,19.92563629
7992-12703,-0.916385498,0.297677969,29.30352449
7992-1901,-0.523764478,-0.211817982,24.5137763
7992-3702,-0.438407865,-0.393176181,39.61130428
7992-3704,-0.520500214,-0.106994908,6.301119447
7992-6102,-0.731813873,0.184615103,117.7528095
7992-6103,-0.315526115,-0.196692212,24.13783121
7992-6104,-0.385652359,-0.677948861,78.27070427
7992-9101,-0.920242689,0.133839253,13.1238451
7992-9102,0.266489761,0.936494963,12.1069715
8131-12701,-0.575621864,-0.211472563,23.65742397
8131-6101,-0.378307181,-0.485725259,15.81097007
8131-9101,-0.976708749,0.351097078,122.0484295
8132-12701,-0.178830091,-0.239137578,6.505451679
8132-12702,0.16442196,0.627206831,8.560946703
8132-12705,-0.360390157,-0.256418762,8.854786634
8132-3702,-0.584659884,-0.031908755,78.02611923
8132-3703,-0.591208877,-0.125823596,18.06224632
8132-6101,0.048818132,0.4529742,14.29694748
8132-6102,-0.258583538,-0.097071569,8.852493286
8132-9101,-0.465490767,-0.516486588,26.95160961
8133-12702,0.030566857,0.735076301,11.33453965
8133-12704,0.031216605,0.131093994,6.345032811
8133-1901,-0.606564232,-0.133514468,7.257416368
8133-3701,-0.213355578,-0.38226964,16.08584738
8133-3704,-1.106898643,0.410450532,37.3321085
8133-9101,-0.251188724,-0.299756351,15.31821179
8134-12701,-0.482251714,-0.216873413,6.838580767
8134-12702,-0.447362761,-0.508978891,12.84483385
8134-1901,-0.462061981,-0.577482388,48.93775654
8134-3701,0.078926215,-0.003653669,7.556720614
8134-6103,-0.501283288,-0.300655299,30.12229824
8134-6104,-0.926024843,0.309156768,8.254770041
8134-9102,0.195686954,0.384702448,8.643133879
8135-12701,0.297147609,0.288399984,6.222993135
8135-12705,-0.435094991,-0.217311478,7.705447912
8135-1901,-0.383834156,-0.680953427,30.8824892
8135-1902,-0.01790139,-0.007994305,440.1206055
8135-3704,-0.562296141,-0.265711945,55.033144
8135-6101,-0.66618544,-0.035284489,39.97133636
8135-9102,-0.456473412,-0.569437632,13.81390405
8137-12702,-0.447841882,-0.529868677,7.196084181
8137-12703,-0.153536603,-0.143971034,9.535092831
8137-12705,-0.550791613,-0.322959761,9.401354074
8137-1901,-0.173303819,0.13227739,11.05710745
8137-3702,0.144945057,0.78054911,12.80675793
8137-3704,-0.432048247,-0.353555775,12.27210402
8137-9102,-0.350268776,-0.376805416,13.67039824
8138-12701,-0.504153431,-0.473153392,7.082761407
8138-12702,-0.415953881,-0.331519201,15.15843844
8138-12704,-0.19803642,-0.086178924,15.57419968
8138-1901,-0.519016593,-0.211895384,22.56223917
8138-3701,-0.360719594,-0.229903153,10.94987464
8138-3704,-0.416751675,-0.70950075,29.12180519
8138-6101,-0.269482824,0.231442295,49.8465929
8138-6102,-0.060680694,0.032419067,7.511451244
8138-6103,-0.372025096,-0.394924944,9.222561121
8138-6104,-0.564765447,-0.221246866,6.56882143
8138-9102,-0.230810146,-0.38585578,16.03195286
8139-12702,-0.899169865,0.357203816,77.1166153
8139-12704,-0.893624541,0.14916833,8.839081764
8139-12705,-0.194399675,-0.312686763,6.709089756
8139-1902,-0.456765318,-0.62001251,27.75172853
8139-3702,-0.851728746,-0.180924011,13.35523629
8139-3703,-0.655345298,-0.017319836,17.43076849
8139-3704,-0.018215127,-0.005370138,7.809825182
8139-6103,-0.740915583,0.041262658,29.87616825
8139-9101,-0.713794828,0.031519976,11.42918158
8140-12702,-0.407657917,-0.385324515,15.02188826
8140-12703,0.028780203,0.238994234,8.783134222
8140-12704,-0.559526207,-0.173653501,14.48839545
8140-12705,-0.559663643,-0.274160465,7.19148314
8140-1902,-0.423724943,-0.605326337,40.96828079
8140-3701,-0.439972843,-0.527938121,61.12220097
8140-6102,-0.453473793,-0.463249384,8.117362738
8140-6104,-0.540276671,-0.157150305,13.52811527
8140-9101,-0.644787311,-0.147092895,9.908466101
8141-12701,-0.259612583,-0.422620878,27.98689747
8141-12702,-0.453016497,-0.600736888,22.3747282
8141-12704,-0.320852298,-0.184821655,6.92893362
8141-1901,-0.102609483,0.761643881,30.9402914
8141-3701,-0.136749814,-0.090858284,9.661866188
8141-3702,-0.41169229,-0.235426626,14.2359128
8141-6102,-0.030467248,0.237428895,8.775348186
8141-6103,-0.070431328,0.060532005,7.283549786
8141-9102,-0.487746119,-0.437859193,20.47801685
8143-12702,-0.410041825,-0.521145968,8.093520164
8143-12703,-0.632217179,-0.166771271,7.169795036
8143-12704,-0.01818402,0.067275286,23.94621563
8143-1901,-0.14545298,0.211755657,21.51235723
8143-6101,0.278454129,0.790214996,17.55707979
8143-6102,-0.630109606,-0.099674029,6.040496826
8143-6104,-0.11001882,-0.099505817,9.153320313
8143-9102,-0.4471144,-0.726006745,11.00073051
8150-12701,-0.463515755,-0.361721527,39.67114925
8150-12705,-0.71522114,-0.028661168,10.69572115
8150-1902,-0.417808575,-0.714091879,69.41103172
8150-3701,-1.294057558,0.336732376,186.4870186
8150-3702,-0.739314786,0.188635832,19.64586782
8150-6101,-0.395782862,-0.513931094,31.98800611
8150-6103,-0.565508633,-0.324257465,241.408268
8150-6104,0.110787531,0.231300248,12.34571266
8150-9102,-0.327538121,-0.415045117,35.02578068
8152-12701,-0.505920657,-0.345519874,12.99230075
8152-12702,-1.114783097,0.193947423,20.01652861
8152-12704,-0.701044138,-0.16855974,15.09866261
8152-12705,-0.44972823,-0.309892731,9.471380949
8152-1901,-0.39810418,-0.501211835,30.99345016
8152-3701,-0.689048325,0.015126006,18.20418262
8152-3703,-0.360030511,0.039477742,14.76265049
8152-3704,-0.75339328,0.24917544,51.64409351
8152-6102,0.004293457,0.202747782,16.6386075
8152-6103,-0.033772862,0.146274906,8.186073899
8152-6104,-0.110474109,-0.205327189,6.720149517
8152-9101,-0.338374241,-0.408666998,7.421136856
8152-9102,0.223463815,0.493106082,7.671239018
8239-12704,-0.581558477,-0.160493153,87.23133659
8239-12705,-0.44722287,-0.841544411,8.136721134
8239-1901,-0.66727533,0.081629517,40.37315655
8239-1902,-0.473306906,-0.233959197,8.897888899
8239-3702,-0.71390194,-0.042827093,14.14818239
8239-3704,-0.449826435,-0.545305975,13.95891762
8239-6101,-0.481588842,-0.461627481,13.06843042
8239-9101,-0.44516793,-0.530694097,12.59912539
8240-12701,-0.28372971,-0.309411286,7.440054536
8240-12705,-0.493946136,-0.345890334,16.75084829
8240-3702,-0.701147378,0.020139781,21.84732056
8240-6101,-0.441595102,-0.435785319,12.51582527
8240-6102,-0.625629619,-0.163124921,15.15162206
8240-6103,-0.449300152,-0.462849276,45.4153471
8240-6104,-0.383368268,-0.347486306,32.69934177
8240-9101,-0.483012988,-0.302446561,14.91862822
8243-12701,0.089183997,0.417193534,10.02391982
8243-12704,-0.364560644,-0.396066828,11.93787551
8243-1901,-0.420595297,-0.617634234,10.71693254
8243-6104,-0.189620489,-0.125861145,7.349948049
8243-9101,-0.701189486,0.006866052,66.95035362
8243-9102,0.266102019,0.185462507,8.756887794
8244-12702,-0.431126128,-0.523458725,8.058715105
8244-12704,-0.325325629,-0.768431016,13.02115965
8244-3702,-0.319331304,-0.039057886,54.89458466
